가입일자,사용자코드,연령대코드,성별,가입 수
2020-12-19,USR_001,AGE_008,,1
2020-12-20,USR_001,AGE_001,F,50
2020-12-20,USR_001,AGE_001,M,87
2020-12-20,USR_001,AGE_002,F,82
2020-12-20,USR_001,AGE_002,M,102
2020-12-20,USR_001,AGE_003,F,33
2020-12-20,USR_001,AGE_003,M,56
2020-12-20,USR_001,AGE_004,F,49
2020-12-20,USR_001,AGE_004,M,60
2020-12-20,USR_001,AGE_005,F,30
2020-12-20,USR_001,AGE_005,M,31
2020-12-20,USR_001,AGE_006,F,5
2020-12-20,USR_001,AGE_006,M,10
2020-12-20,USR_001,AGE_008,,1
2020-12-20,USR_001,AGE_008,M,1
2020-12-21,USR_001,AGE_001,F,74
2020-12-21,USR_001,AGE_001,M,79
2020-12-21,USR_001,AGE_002,F,53
2020-12-21,USR_001,AGE_002,M,94
2020-12-21,USR_001,AGE_003,F,38
2020-12-21,USR_001,AGE_003,M,54
2020-12-21,USR_001,AGE_004,F,49
2020-12-21,USR_001,AGE_004,M,47
2020-12-21,USR_001,AGE_005,F,21
2020-12-21,USR_001,AGE_005,M,37
2020-12-21,USR_001,AGE_006,F,1
2020-12-21,USR_001,AGE_006,M,12
2020-12-21,USR_001,AGE_007,M,3
2020-12-21,USR_001,AGE_008,,1
2020-12-21,USR_001,AGE_008,M,3
2020-12-22,USR_001,AGE_001,F,98
2020-12-22,USR_001,AGE_001,M,84
2020-12-22,USR_001,AGE_002,F,82
2020-12-22,USR_001,AGE_002,M,106
2020-12-22,USR_001,AGE_003,F,41
2020-12-22,USR_001,AGE_003,M,52
2020-12-22,USR_001,AGE_004,F,31
2020-12-22,USR_001,AGE_004,M,33
2020-12-22,USR_001,AGE_005,F,18
2020-12-22,USR_001,AGE_005,M,28
2020-12-22,USR_001,AGE_006,M,11
2020-12-23,USR_001,AGE_001,F,67
2020-12-23,USR_001,AGE_001,M,87
2020-12-23,USR_001,AGE_002,F,88
2020-12-23,USR_001,AGE_002,M,117
2020-12-23,USR_001,AGE_003,F,38
2020-12-23,USR_001,AGE_003,M,49
2020-12-23,USR_001,AGE_004,F,29
2020-12-23,USR_001,AGE_004,M,36
2020-12-23,USR_001,AGE_005,F,29
2020-12-23,USR_001,AGE_005,M,21
2020-12-23,USR_001,AGE_006,F,4
2020-12-23,USR_001,AGE_006,M,9
2020-12-23,USR_001,AGE_007,F,1
2020-12-23,USR_001,AGE_007,M,3
