가입일자,사용자코드,연령대코드,성별,가입 수
2020-10-16,USR_001,AGE_008,," 3,917 "
2020-10-17,USR_001,AGE_001,F, 194 
2020-10-17,USR_001,AGE_001,M, 222 
2020-10-17,USR_001,AGE_002,F, 875 
2020-10-17,USR_001,AGE_002,M, 782 
2020-10-17,USR_001,AGE_003,F, 391 
2020-10-17,USR_001,AGE_003,M, 422 
2020-10-17,USR_001,AGE_004,F, 286 
2020-10-17,USR_001,AGE_004,M, 287 
2020-10-17,USR_001,AGE_005,F, 102 
2020-10-17,USR_001,AGE_005,M, 102 
2020-10-17,USR_001,AGE_006,F, 23 
2020-10-17,USR_001,AGE_006,M, 22 
2020-10-17,USR_001,AGE_007,F, 2 
2020-10-17,USR_001,AGE_007,M, 3 
2020-10-17,USR_001,AGE_008,," 3,507 "
2020-10-17,USR_001,AGE_008,M, 2 
2020-10-18,USR_001,AGE_001,F, 186 
2020-10-18,USR_001,AGE_001,M, 189 
2020-10-18,USR_001,AGE_002,F, 845 
2020-10-18,USR_001,AGE_002,M, 722 
2020-10-18,USR_001,AGE_003,F, 405 
2020-10-18,USR_001,AGE_003,M, 439 
2020-10-18,USR_001,AGE_004,F, 360 
2020-10-18,USR_001,AGE_004,M, 337 
2020-10-18,USR_001,AGE_005,F, 135 
2020-10-18,USR_001,AGE_005,M, 133 
2020-10-18,USR_001,AGE_006,F, 27 
2020-10-18,USR_001,AGE_006,M, 32 
2020-10-18,USR_001,AGE_007,F, 3 
2020-10-18,USR_001,AGE_007,M, 2 
2020-10-18,USR_001,AGE_008,," 3,748 "
2020-10-18,USR_001,AGE_008,F, 1 
2020-10-18,USR_001,AGE_008,M, 1 
2020-10-19,USR_001,AGE_001,F, 79 
2020-10-19,USR_001,AGE_001,M, 107 
2020-10-19,USR_001,AGE_002,F, 364 
2020-10-19,USR_001,AGE_002,M, 397 
2020-10-19,USR_001,AGE_003,F, 184 
2020-10-19,USR_001,AGE_003,M, 187 
2020-10-19,USR_001,AGE_004,F, 112 
2020-10-19,USR_001,AGE_004,M, 136 
2020-10-19,USR_001,AGE_005,F, 69 
2020-10-19,USR_001,AGE_005,M, 62 
2020-10-19,USR_001,AGE_006,F, 13 
2020-10-19,USR_001,AGE_006,M, 30 
2020-10-19,USR_001,AGE_007,F, 1 
2020-10-19,USR_001,AGE_007,M, 2 
2020-10-19,USR_001,AGE_008,," 3,957 "
2020-10-19,USR_001,AGE_008,F, 1 
2020-10-19,USR_001,AGE_008,M, 1 
2020-10-20,USR_001,AGE_001,F, 133 
2020-10-20,USR_001,AGE_001,M, 113 
2020-10-20,USR_001,AGE_002,F, 357 
2020-10-20,USR_001,AGE_002,M, 342 
2020-10-20,USR_001,AGE_003,F, 183 
2020-10-20,USR_001,AGE_003,M, 189 
2020-10-20,USR_001,AGE_004,F, 95 
2020-10-20,USR_001,AGE_004,M, 122 
2020-10-20,USR_001,AGE_005,F, 62 
2020-10-20,USR_001,AGE_005,M, 72 
2020-10-20,USR_001,AGE_006,F, 10 
2020-10-20,USR_001,AGE_006,M, 24 
2020-10-20,USR_001,AGE_007,M, 3 
2020-10-20,USR_001,AGE_008,," 3,231 "
2020-10-20,USR_001,AGE_008,M, 1 
2020-10-21,USR_001,AGE_001,F, 104 
2020-10-21,USR_001,AGE_001,M, 91 
2020-10-21,USR_001,AGE_002,F, 322 
2020-10-21,USR_001,AGE_002,M, 318 
